Timestamp,Hey guys! I just saw that a penguin escaped.,I'm going out with the guys. You can deal with the penguins.,We're going to need to hire a Python guy to deal with our penguin problems.,This would never have happened if the Java guys were here.,That penguin is such a good guy,Those guys dealt with the penguin emergency so professionally.,I met a great Erlang guy the other day who knows how to deal with thorny penguin issues,Do you identify as a woman?,Unnamed: 10,???
2013-12-26 10:32:24,gender neutral,just men,just men,just men,just men,gender neutral,just men,No,,
2013-12-26 10:32:29,gender neutral,just men,just men,gender neutral,just men,gender neutral,just men,No,,
2013-12-26 10:32:33,gender neutral,just men,gender neutral,gender neutral,gender neutral,gender neutral,just men,No,Toronto,
2013-12-26 10:32:41,gender neutral,just men,just men,just men,just men,gender neutral,just men,No,SF,
2013-12-26 10:32:45,gender neutral,just men,just men,just men,just men,gender neutral,just men,No,Denmark,
2013-12-26 10:33:48,gender neutral,just men,gender neutral,gender neutral,gender neutral,gender neutral,gender neutral,No,uk,
2013-12-26 10:33:51,gender neutral,just men,just men,just men,just men,just men,just men,No,,
2013-12-26 10:34:07,gender neutral,gender neutral,just men,gender neutral,just men,gender neutral,just men,No,Buffalo NY,
2013-12-26 10:34:42,gender neutral,just men,just men,just men,just men,gender neutral,just men,No,USA,
2013-12-26 10:34:45,gender neutral,just men,just men,just men,just men,just men,just men,Yes,Easy coast United States,
2013-12-26 10:35:32,gender neutral,just men,just men,just men,just men,gender neutral,just men,Yes,,
2013-12-26 10:35:44,gender neutral,just men,just men,just men,just men,just men,just men,No,NYC,
2013-12-26 10:35:57,gender neutral,just men,just men,just men,gender neutral,gender neutral,just men,No,Chicago ,
2013-12-26 10:36:02,gender neutral,just men,just men,just men,just men,gender neutral,just men,No,Tennessee,
2013-12-26 10:36:04,gender neutral,just men,gender neutral,gender neutral,just men,gender neutral,gender neutral,No,,
2013-12-26 10:36:39,gender neutral,just men,just men,just men,just men,gender neutral,just men,No,Chicago,
2013-12-26 10:36:43,just men,just men,just men,just men,just men,just men,just men,No,germany,
2013-12-26 10:36:50,gender neutral,just men,just men,just men,just men,gender neutral,just men,No,Richmond,
2013-12-26 10:37:39,gender neutral,just men,just men,just men,just men,gender neutral,just men,No,Canada,
2013-12-26 10:39:17,gender neutral,just men,just men,just men,just men,just men,just men,Yes,Berlin,
2013-12-26 10:39:51,gender neutral,just men,just men,just men,gender neutral,gender neutral,just men,No,Greensboro,
2013-12-26 10:40:17,gender neutral,just men,just men,just men,just men,just men,just men,No,San Francisco,
2013-12-26 10:40:19,gender neutral,just men,gender neutral,just men,just men,gender neutral,just men,No,,
2013-12-26 10:40:43,gender neutral,just men,just men,gender neutral,gender neutral,gender neutral,just men,No,,
2013-12-26 10:40:53,just men,gender neutral,just men,just men,just men,gender neutral,just men,No,Montreal,
